name(이름),description(설명),start_date(시작일),end_date(종료일),region(지역),detail_region(상세지역),latitude(위도),longitude(경도),fee(참가요금),organizer(주최기관),contact_phone(연락처),website_url(공식홈페이지),visitor_count(방문객수),Tag
28th Muan Lotus Festival,"The Muan Lotus Festival is a representative summer festival in Jeollanam-do, and it is the largest single lotus festival in the country. It began in 1997 and is held every summer in the area of Hoesan White Lotus in Doseok-ri, Ilro-eup. As if revealing its purity through the green lotus leaves filled with up to 100,000 pyeong in the East, you can see white lotus flowers blooming straight and capture the romance of summer with various events in the middle of nature.
[Contents of the event]
1. Main program: Lotus Arts Hanmadang, Hwayang Yeonhwa Concert, etc
2. Supplementary programs: Ochergol Cooking Competition, Lotus Blossom Competition, Children's Reading Golden Bell Competition, etc
3. Consumer Join Program: Experience events such as lotus accessories, handkerchiefs, face painting, etc., lotus moonlit nightlife, main and auxiliary programs
4. Other details: Operation of permanent facilities such as water playground, auto camping site, animal farm, etc",2025.06.26,2025.06.29,Jeonnam,Hoesan White Lotus Pond,34.863892,126.518519,free,Muan County,061-450-5472,https://tour.muan.go.kr/tour/festival/lotus/introduce,500,"Family,Food,Culture,Children,Summer,Music/Show,Nature,All Ages,Join"
5th Muan YD Festival,"The Muan YD Festival aims to promote Muan, a youth city where young people's dreams become a reality, provide a place for communication to young people, and imprint Muan as a center of youth culture under the theme of ""Flying Like a Dragon! Muan, a youth city,"" and has established itself as a festival that young people in the region expect and wait for.
[Contents of the event]
1. Main program: Street parade, celebratory concert, street basketball competition, national dance competition, etc
2. Supplementary programs: exhibition of chrysanthemums, sale of agricultural and fishery products, youth Join programs, etc
3. Consumer Join Program: One-day Class, Beauty, Psychological Counseling, etc. Experience Program
4. Other details: Performance events such as busking and various promotions",2025.11.14,2025.11.16,Jeonnam,Nam-ak Central Park,34.811243,126.463109,free,Muan County,061-450-5474,https://tour.muan.go.kr/tour/festival/yd_festival,700,"Culture,Adult,Music/Show,Nature,All Ages,Specialty,Join"
27th Hampyeong Butterfly Festival,"The way to live in an area where there are no industrial or tourism resources and there are no specialties or foods to eat is to revitalize the local economy and increase the county residents' income by selling agricultural specialties produced in Hampyeong, an eco-friendly area. The question was how to inform. It was intended to promote a canola flower festival against the backdrop of canola flowers that will be in full bloom on 33ha of the high-quality land prepared in accordance with the Hampyeongcheon Stream purification project, but it is a festival designed with the theme of butterflies that can appeal the most as an eco-friendly area because can't be differentiated from competitiveness with canola.
[Contents of the event]
1. an official event
- Opening ceremony, opening ceremony, Hampyeong County Residents' Day, Children's Hanmadang Festival Contest, 53rd Parents' Day Celebration, closing ceremony

2. a performance program
- Opening Celebration Performance: April 25, 2025 (Fri) 19:30 (Invited Singer: Cho Sung-mo, So Chan-hwi)
- Local arts organization performance: April 25, 2025 (Fri) ~ May 6, 2025 (Tue)
- Butterfly Concert: May 1, 2025 (Thu) 15:30 (Invited Singer: Kim Kyung-ho Band, Jungwoo Kim)
- Navi Fantasia Parade Show: April 25, 2025 (Fri) ~ May 6, (Tue) / Operated once or twice a day
- National Busking Contest: April 25, 2025 (Fri) ~ April 27, (Tue) 14:00
- Traditional Play Competition: April 29, 2025 (Tue)
- National Butterfly Dance Competition: May 3, 2025 (Sat) 16:30 (Invitation Singer Dindin)
- Butterfly Songmadang: May 4, 2025 (Sun) 16:00 (Invited Singer: Lee Young-ha Band)
- Hampyeong-gun Residents' Day Celebration Performance: May 4, 2025 (Sun) 11:00 (Invited Singer: Song Ga-in)
- Dream of Butterfly Singer Long Show (Brad Barbershop): May 5, 2025 (Mon) 13:00 / 15:00 2nd episode
- Butterfly Festival: May 5, 2025 (Mon) 16:00 (Invited Singer: Norazo)
- Magic Show: May 5, 2025 (Monday) 11:00 / 14:00 2nd episode
- Parents' Day Celebration Performance: May 6, 2025 (Tue) 10:00 (Invited Singer: Miss Kim)
- Closing performance on May 6, 2025 (Tue) 16:00 (Invited singer Song Jang-jang, Lee Chan-won)

3. a hands-on program
- Flying Butterflies in the Outdoor (Free)
- Indoor Butterfly (Free)
- Traditional Folk Play Experience (Free)
- Butterfly Face Painting (Paid)
- Butterfly Costume Experience (Paid)
- Making Butterfly Accessories (Paid)
- Making a Butterfly Mask (Paid)
- Butterfly Model Slime Class (Paid)
- Let's play in Hampyeong (Farm Experience) (Paid)
- Caricature and Portrait Experience (Paid)
- Pizza Making Experience (Paid)
- Banana harvest experience (free)
- Fish catching experience (paid)
- Cattle Ranch Outing Experience (Free)
- Running a good place to space out (free)
- Family Bike Experience (Paid)

4. the production of an exhibition hall
- Butterfly Ecology Hall, Succulent Botanical Hall, Natural Ecology Hall, Subtropical Botanical Hall, Aquatic Botanical Museum, Butterfly Insect Sample Exhibition Hall, VR Experience Hall, Memory Workshop (Golden Bat Exhibition Hall), Hampyeong County Museum of Art

[Charges]
1) Pre-purchase price (2025.3.5. ~ 4.25)
- Adults: KRW 6,300 / (for group of more than 20 people) KRW 5,400
- Juvenile: KRW 4,500 / (for groups of more than 20 people) KRW 3,600
- Kindergarten, children and senior citizens: KRW 2,700 / (for group of 20 or more) KRW 1,800

2) On-site pre-sale price (April 26, 2025, ~ May 6, 2025)
- Adults: 7,000 won / (for group of more than 20 people) 6,000 won
- Juvenile: KRW 5,000 / (for groups of more than 20 people) KRW 4,000
- Kindergarten, children and the elderly: KRW 3,000 / (for group of more than 20 people) KRW 2,000",2025.04.25,2025.05.06,Jeonnam,Hampyeong Expo Park,35.055691,126.522343,free,Hampyeong County,061-320-2202,https://www.hpftf.or.kr/contentsView.do?pageId=www142,1386,"Family,Food,Culture,Spring,Adult,Senior,Children,Music/Show,Nature,Heritage,Specialty,Youth"
2025 Jangseong Hwangnyonggang Flower Road Festival,"The Jangseong Hwangryonggang Gildongmu Flower Road Festival, which was newly created by combining the 20-year-old Jangseong Honggil-dong Festival with the Hwangryonggang River Flower Road, has established itself as a representative flower festival that can be seen in the Hwangryonggang River along with the Jangseong Hwangryonggang Autumn Flower Festival held in Autumn. Every May, red poppies, cart chrysanthemums, and gold films bloom along the Hwangryonggang River to create beautiful scenery. You can enjoy the unique spring scenery of Jangseongman while walking on a flower path along the riverside. The Hwangryonggang Gildongmu Flower Road Festival is held along the Hwangryonggang River, where you can enjoy various experience programs, including spring flower garden events and exhibitions, and events for children and adolescents.
[Contents of the event]
1. Main program: Music Festival (Saturday, May 10)
2. Supplementary programs: the eve of the festival (5. 9th Friday), performances by local artists, miniature exhibitions
3. Consumer Join Program: Flower Road Train",2025.05.10,2025.05.11,Jeonnam,Hwangnyong River Area,35.305109,126.77715,free,Jangseong County Office,061-390-7252,https://www.jangseong.go.kr/home/visit/bbs/board.php?bo_table=events&wr_id=14,500,"Family,Food,Culture,Spring,Children,Music/Show,Nature,Heritage,Specialty,Youth"
2025 Wando Jangbogo Seafood Festival,"The Wando Jangbogo Seafood Festival, which represents Wando-gun, will be held under the theme of ""Healing and Gourmet Travel to the Clean Sea"" to promote the identity of the festival, including the Marine Healing Industry, a military-focused project that utilizes various marine resources in Wando-gun. In order to relieve the fatigue of the county residents and tourists visiting Wando, more colorful experience programs and large-scale performance cultural events are prepared this year than last year.
[Contents of the event]
1. Main program: Bamboo sea fishing experience, GoGo abalone picking
2. Additional programs: Wando Horang thorn tree wish zone, pinwheel photo zone, global cultural experience zone
3. Experience programs: Wando Island Kids World, Marine Healing Promotion Center, Marine Healing Kids Land
4. Sales programs: Wando grass food market, Wando grass specialty market, raccoon's ramen shop, abalone chicken, Bokdakbokdak, etc
5. Special program: Special concert to celebrate the 20th anniversary of drama Haeshin, 225m abalone, seaweed healing gimbap making, traditional rowing competition",2025.05.03,2025.05.06,Jeonnam,Wando Beach Park & Marine Healing Center Area,34.319426,126.749595,free,Wando County,061-550-5431,https://www.wando.go.kr/tour/sub.cs?m=94,900,"Food,Culture,Adult,Music/Show,Nature,All Ages,Heritage,Specialty,Join"
45th Jindo Miracle Sea Road Festival,"The mysterious sea road in Jindo Island, the state-designated scenic spot No. 9, is a phenomenon in which the sea about 2km between Hoedong-ri in Gogun-myeon and Modo-ri in Uisin-myeon is revealed when the water depth decreases on the eve of February of the lunar calendar due to the difference between the tides. Every year, numerous domestic and foreign tourists visit Jindo Island to see this phenomenon during the festival and enjoy the moment of miracle for about an hour when the sea road is fully exposed.
[Contents of the event]
1. Main program: Mystery Sea Road Experience, Jindo Art Beach, Saebit, Saegil Parade, Sea Road Torch Parade, Treasure Island Modo, Hongju Red Road, etc
2. Performance, supplementary programs: Miracle Concert, Jindo Intangible Cultural Property Performance and Experience, Youth Dance and Singing Contest, Jindo Dog Sports, International Academic Symposium, etc
3. Consumer Join Program: Children's Experience Garden Kids Zone, Korean Traditional Culture Experience, Mysterious Pottery Making, My Own Mug Cup Making, Mulberry Grandmother Block Making, etc
4. Other information: Green Snake Join Environmental Campaign, Book Play Parade, Ppong Grandma Saegil Parade, etc
5. Global events: Foreigners' K-pop singing contest, colorful Jindo, foreigners' drinking contest, etc",2025.03.29,2025.04.01,Jeonnam,"Mystery Sea Road, Gogun-myeon",34.436094,126.354269,free,Jindo County Office,061-540-3407,https://www.jindo.go.kr/tour/board/B0139.cs?m=99,910,"Family,Winter,Food,Culture,Children,Music/Show,Nature,Heritage,Youth"
Jeonju International Sori Festival,"The Jeonju World Sori Festival is a global music festival that encompasses world music and various genres of music, centering on pansori and traditional music. With the keyword ""Echoes from the Homeland,"" the festival will showcase a variety of music focusing on the diaspora attributes of music, which also creates new genres by meeting art languages from other regions, focusing on the migration, identity, music genres containing nostalgia, artists, and modern reinterpretation of music.
[Contents of the event]
a representative program
Opening performance, closing performance, traditional performance, world music, classical music, popular music concert, etc",2025.08.13,2025.08.17,Jeonbuk,Jeonju Korean Sound Cultural Center & Jeonbuk Province Area,35.85567,127.138576,free,Jeonbuk Provincial Office,063-280-4843,https://www.sorifestival.com/main/,1800,"Food,Culture,Summer,Music/Show,Heritage,Specialty,Join"
50th Jeonju Daesaseup Festival,"The Jeonju Daeseupnori National Competition is a prestigious national Korean classical music competition festival held to inherit traditional Korean classical music and discover promising Korean classical music talents.

[Contents of the event]
1. a major program
1) National Competition ??Pansori, Nongak, Dance, Instrumental Music, Folk Song, Gayageum Byeongchang, Gobeop, and Gungdo ??a total of 13 competitions
2) Student National Competition ??10 Korean traditional music competitions for elementary, middle and high school students
3) On the eve of the festival and planned performances ??celebratory and harmonious performances such as pansori, folk songs, gayageum Byeongchang, dance, etc

2. academic and exchange programs
1) Academic Forum ??Expert Forum for Traditional Inheritance and Contentization
2) Reception and Dinner ??Interactive Events between Participants and key stakeholders

3. a side event
1) Jang Won-won's Night ??Masterpiece of Pansori
2) National Competition Awards ??Awards and awards events for each category of the finals",2025.05.10,2025.05.26,Jeonbuk,"Jeonju City Area (National Intangible Heritage Center, etc.)",35.848789,127.119741,free,Jeonju City Hall,063-281-2977,https://www.jjdss.or.kr/,525,"Food,Music/Show,Heritage,Join"
2025 Iksan Seodong Festival,"Iksan Seodong Festival is a historical and cultural festival held every May in Seodong Park, Geumma-myeon, Iksan-si, Jeollabuk-do, under the theme of the legend of Baekje King Mu, Seodong, and Princess Seonhwa of Silla.

[Contents of the event]
1. a representative program
1) King Mu Ritual ??Traditional Ritual to honor the love of Seodong and Princess Seonhwa
2) Kingless Parade ??a street parade recreating the scene of King Mu's enthronement
3) Seodong Contest & Seonhwa Princess Contest ??Selection of Ambassadors for the Festival
4) Citizen's Open Performance ??Seodongyo, Children's Chorus, Youth Song Festival, etc

2. a hands-on program
1) Baekje Soldier Experience ??Baekje Army Experience such as archery and building walls
2) Seodongyo theme experience zone ??five senses experience, painting children's event, junior contest, etc
3) Mobile Stamp Tour ??Mission by Place under the theme of 'Dream of Seodong'

3. Exhibitions and ancillary events
1) Baekje Yudeung Exhibition ??'Baekje Light' Water-Night Lighting Scenic View
2) Flea Market and Theme Booth ??Local Crafts and Food Market
3) Docent commentary tour and shuttle bus operation",2025.05.03,2025.05.06,Jeonbuk,Seodong Park,36.00066,127.060108,free,Iksan City Hall,063-859-5826,https://seodong.iksan.go.kr/main/inner.php?sMenu=main&pre_url=https%3A%2F%2Fwww.google.com%2F,950,"Family,Food,Culture,Spring,Children,Music/Show,Nature,Heritage,Specialty,Youth"
22nd Iksan Chrysanthemum Festival,"Iksan 10 million Songi Chrysanthemum Festival is a festival where cities and agriculture coexist during 2023.10.20-10.29, and it is a festival with a variety of things to see and enjoy, including the nation's largest chrysanthemum garden, chrysanthemum bonsai, cultural performances, and music fountains.
[Contents of the event]
1. Exhibition of chrysanthemum works (large model, multi-wheeled masterpiece, etc.) 2. Cultural performance 3. Local agricultural product sales hall 4. Various experience hall 5. Public relations hall 6. Local food food hall",2025.10.24,2025.11.02,Jeonbuk,Central Sports Park,35.949368,126.986107,free,Iksan Agricultural Technology Center,063-859-4977,https://www.iksan.go.kr/gukhwa/index.iksan,1565,"Food,Culture,Music/Show,Nature,Specialty,Join"
18th Jeongeup Gujeolcho Flower Festival,"Selected by photographers, Jeongeup Gujeolcho Festival, Korea's best attraction, will be held in early October every year at the peak of Autumn at the 150,000??Gujeolcho Flower Garden in the East against the backdrop of a clean mountain stream and a pine forest with a heavenly natural scenery. Along with a view of pure white Gujeolcho, the best gift of nature to humans, various events, experiences and sales events of local agricultural products will be held under the theme of local resources.
[Contents of the event]
1. Main program: Opening ceremony and celebratory performance, Gujeolcho Flower Garden Concert, Plaza Hanmadang performance, and lectures invited by celebrities
2. Additional programs: Busking performances, classical performances under persimmon trees, flower garden radio, Gujeolcho surprise photographer, garden landscape vivid video, Gujeolcho storytelling promotion exhibition
3. Consumer Join Program: Garden Stamp Tour, Woodcraft Experience, Wooden Play Emotional Experience, Gujeolcho & Festival Photo Contest, Gujeolcho Foot Bath Experience, Gujeolcho Scent Box, Garden Landscape from the Sky (Stipwire/Paid), Gujeolcho Flower Train (Paid), Gujeolcho Sales & Flower Pots Making
4. Other information: Kkotbung, Gardenbung, Gujeolcho Face Painting, Specialty Food Shop (38 places), Garden Market (2 places), Restaurant (13 places)


*admission fee
(Part of the amount can be used as garden love gift certificates*) *Gardeners and gift certificates are cash coupons attached to the admission tickets and can be used as cash at the festival venue

[General]
- Individuals: 7,000 won for adults (4,000 won for garden love gift certificates), 5,000 won for teenagers, soldiers, and senior citizens (3,000 won for garden love gift certificates), 3,000 won for children (2,000 won for garden love gift certificates)
- Groups: 5,000 won for adults (3,000 won for garden love gift certificates), 4,000 won for teenagers, soldiers, and senior citizens (2,000 won for garden love gift certificates), 2,000 won for children (1,000 won for garden love gift certificates)

[Mutual city]: Seoul Metropolitan Government, Sokcho City, Namyangju City, Sacheon City, Daegu Metropolitan City (Suseong-gu)
- Individuals: 4,000 won for adults (4,000 won for garden love gift certificates), 3,000 won for teenagers, soldiers, and senior citizens (3,000 won for garden love gift certificates), 2,000 won for children (2,000 won for garden love gift certificates)
- Groups: 3,000 won for adults (3,000 won for garden love gift certificates), 2,000 won for teenagers, soldiers, and senior citizens (2,000 won for garden love gift certificates), 1,000 won for children (1,000 won for garden love gift certificates)",2025.10.10,2025.10.26,Jeonbuk,Gujeolcho Flower Garden,35.552842,127.019113,free,Jeongeup City Hall,,https://www.jeongeup.go.kr/culture/index.jeongeup?menuCd=DOM_000000602004001000,1050,"Family,Food,Adult,Children,Music/Show,Nature,All Ages,Specialty,Youth,Join"
95th Chunhyang Festival,"Namwon-si holds the Chunhyang Festival every May on the day Chunhyang and Lee Mong-ryong first met. The Chunhyang Festival, which began on May 5 of the lunar calendar in 1931, is the first performing arts-type, citizen-participating festival and the beginning of a local festival with the longest history of Korea, which has continued 95 times.
[Contents of the event]
1. Main programs: Chunhyangjehyang, Global Chunhyang Contest, Daedonggilnori, etc
2. Supplementary programs: Hanbok martial arts, F&B zones, etc
3. Consumer Join Program: Chunhyang Mudo Association Costume, Chunhyang Photo Zone, etc
4. Other contents: Citizen Join programs such as Chunhyang Gugak Exhibition and Junhyang Love Essay, etc",2025.04.30,2025.05.06,Jeonbuk,Gwanghalluwon Garden & Yocheon Area,35.403369,127.379426,free,Namwon City Hall,063-620-5787,https://www.chunhyang.org/,3785,"Food,Culture,Spring,Music/Show,Heritage,Specialty,Join"
27th Gimje Horizon Festival,"The Gimje Horizon Festival, which is the only honorary representative cultural tourism festival in Korea designated by the Ministry of Culture, Sports and Tourism, will be held under the theme of traditional agricultural culture, focusing on the Gimje Byeokgolje, Korea's oldest and largest repair facility in ??. Various attractions, including the Presidential Cup National Nongak Competition held on the horizon, various agricultural culture experience programs such as building rice in a furnace, catching grasshoppers, and cutting rice, as well as traditional events such as Byeokgolje legend Ssangryong Nori, and the standing tug-of-war for the good harvest.
[Contents of the event]
1. Main program
- Horizon National Nongak Competition: It is the only presidential boat competition among the national festival competitions, and teams representing Nongak from all over the country can participate and feel the essence of our traditional Nongak
- Based on the story of Ssangryong related to Byeokgolje, the main stage of the Gimje Horizon Festival, a representative traditional event program in which residents of Buryang-myeon, Gimje-si participate in the performance of situational drama
- Standing Tug: A traditional folk game to pray for a good harvest during the Lunar New Year's Day, a representative traditional event program operated by residents of Gyowol-dong, Gimje-si

2. a hands-on program
- Zipline Experience of Land Art : A unique leisure sports experience that crosses the land art (Nong Experience Center) using the theme straw of agricultural culture
- Rice water foot bath massage experience: A unique experience to enjoy relaxation and relieve fatigue while looking at the field and rice paddy experience center in front of your eyes
- Making Hot Pot Rice: An experience program where you cook and eat hot pot rice directly in a small hot pot with your family
- Rice cutting experience: A rice harvest experience program where you can learn the hard work of farmers and the importance of rice while enjoying traditional farming culture
- Traditional folk games at night: A unique experience that can be safely enjoyed at night by using LEDs for rural folk games

3. a supplementary program
- Horizon Rice Show: Through the selection of a public offering project by the Ministry of Culture, Sports and Tourism, pop-up stores for processed rice products using local specialized items, and brand promotion centers are operated
- Horizon Pet Zone: Reflecting the trend of the companion population, creating a dedicated lounge for companion population to enjoy, such as a playground and shelter for companion animals
- Global Center: Establishment of convenience facilities, etc. for foreign tourists through the operation of national experience centers, food courts, cultural performances, etc

4. Other (food, etc.)
- Regional specialized food booths: In addition to the representative food of Eup, Myeon, Dong, representative food, the sale of representative restaurant food in Gimje selected through the project ""Let's Enjoy"" to eradicate the poor food of local festivals
- Horizon Promenade: Run a snack booth for young people to enjoy
- Direct market for agricultural and fishery products: Sales of agricultural and fishery products produced in Gimje, processed products, special products, etc",2025.09.24,2025.09.28,Jeonbuk,Gimje City Area (Byeokgolje Center),35.753052,126.852413,free,Gimje City Hall,063-540-3190,https://festival.gimje.go.kr/,2691,"Family,Winter,Food,Culture,Music/Show,Nature,All Ages,Heritage,Specialty,Join"
29th Muju Firefly Festival,"It is a festival in which culture, environment and art education are shared under the theme of ecology, such as ecological culture festival, ecological environment festival, ecological art festival, and ecological education festival. During the Muju Firefly Festival, visitors can see various programs such as firefly mystery exploration, Bandi Byeol Picnic, and traditional cultural performances of Anseong Dumun Nakhwa Nori, and experience the natural environment.
[Contents of the event]
1. Main program
- Firefly Mystery Exploration: Travel to the firefly habitat by shuttle bus and go on a direct expedition
- Bandinuri Hall: A place where live fireflies can be seen indoors at all times of the year
- Namdaecheon Life Plus: Experience to learn and experience the importance of life by releasing young fish into Namdaecheon

2. a supplementary program
- Muju Anseong Nakhwa Festival: Traditional Fireworks Festival
- Bandi Star Picnic: An event to find constellations while listening to explanations from astronomical scientific history commentators in Muju, clean nature",2025.09.06,2025.09.14,Jeonbuk,Muju County Area,35.897456,127.77313,free,Muju County Office,063-320-2537,https://www.firefly.or.kr/,2500,"Food,Culture,Music/Show,Nature,Heritage,Join"
Muju Mountain Film Festival,"The Muju Mountain Film Festival is the only natural international mountain film festival in Korea held in Muju-gun and Deogyusan Mountain, Jeollabuk-do, and introduces various mountain, adventure, natural documentaries and dramatic films against the backdrop of the natural environment every year.

[Contents of the event]
1. a screening program
1) International Competition ??Feature/short-story competition screenings of mountain, adventure, and nature
2) Asian Competition Division
3) Invitational screenings and special exhibitions ??live screenings of silent films, retrospective exhibitions of contemporary directors, etc

2. Production Support Program
1) UMFF Summit ??Mountain Film Production Support, Contest and Workshop
2) UMFF Project ??Screening and Subsequent Production of Selected Works

3. academic and exchange programs
1) Seminar, Lecture, Panel Talk ??Join of experts related to mountain and film
2) Director-Audience Conversation ??Talk Session with Audience

4. a side event
1) Mountain Culture Exhibition ??Photography, Climbing Equipment, Art Exhibition
2) Docent Screening ??viewing program with director/writer
3) Networking events ??opportunities to interact with directors, producers, mountaineers, etc",2025.06.06,2025.06.08,Jeonbuk,Deungnamu Stadium Area,36.004121,127.66164,free,Muju County Office,063-320-2537,https://www.mjff.or.kr/kor/addon/10000001/page.asp?page_num=44509,1100,"Food,Culture,Nature,Join,memory,trip"
Imsil N Cheese Festival,"It is the Imsil N Cheese Festival, which celebrates Father Chung Ji-hwan, who came to Imsil-ro missionary work in 1967, making cheese for the first time in Korea after numerous trials and errors and hardships with young people in the village, and develops into a representative cultural tourism festival in Korea enjoyed by Imsil County residents and visitors at Imsil Cheese Theme Park in early October every year to revitalize the local economy and develop the cheese industry.
[Contents of the event]
Representative program
1. Imsil N Cheese. Make my own cheese
- Using ""Cheese,"" the core content of the Imsil N Cheese Festival, a Hanmadang program that completes 2,000 meters of string cheese at once with health, love, happiness, and all the wishes of a prosperous life

2. Imsil N Cheese Dessert Fondu Experience
- A large-scale Join program in which urban residents can simply experience and taste 200KG of aged cheese, and 10,000 people can participate for four days. A new representative program will be promoted in 2024

3. National team Imsil N Cheese Large Rice Pizza
- Experience making large-scale rice pizza using cheese, the core content of the Imsil N Cheese Festival, and experience rice pizza cooking where visitors can experience five senses of satisfaction by utilizing recipes from professional chefs who can easily cook at home",2025.10.08,2025.10.12,Jeonbuk,"Imsil Cheese Theme Park, Cheese Village, Imsil-eup",35.632613,127.301494,free,Imsil County,063-640-2523,https://www.imsilfestival.com/,1080,"Food,Culture,Adult,Nature,All Ages,Specialty,Join"
20th Sunchang Sauce Festival,"Sunchang, Jeonbuk Special Self-Governing Province, is the home of Korea's representative food gochujang, as it is a place where the natural environment and history of the culture of gochujang live. Every Autumn in Sunchang, the Sunchang Festival is held based on traditional Korean gochujang. About 60 different programs, including experience programs, cultural performances, exhibitions and sales based on traditional gochujang, will be held, and you can enjoy spicy and savory foods made of Sunchang red pepper paste. It also presents special and fun programs unique to the Sunchang red pepper paste festival, such as the performance of the ""Sunchang red pepper paste king's funeral procession"" and the experience of making Sunchang red pepper paste and soybean paste.
[Contents of the event]
1. Main program: Opening, closing performance, youth song festival
2. Additional programs: DJ&EDM Light Show Jangryu Village ""Let's play Zombie"", cultural performances decorated by local residents, etc
3. Consumer Join Program: Sunchang red pepper paste king's funeral procession, fermentation country 1997, making Sunchang red pepper paste and soybean paste together, etc
4. Other contents: Jangryu Concert, Nongak Contest, etc",2025.10.17,2025.10.19,Jeonbuk,Sunchang Traditional Gochujang Village & Fermentation Theme Park,35.367905,127.111567,free,Sunchang County Office,063-650-1624,http://www.jangfestival.co.kr/ver2/bbs/board.php?bo_table=table25,1369,"Food,Culture,Music/Show,Nature,All Ages,Heritage,Specialty,Youth,Join"
52nd Gochang Moyang Fortress Festival,"Gochang Moyangseongje is the most well-preserved historical and cultural festival in Korea. The representative program is Dapseong Nori, which developed the legend that a round of leg disease is cured, two rounds of health and longevity, and three turns of heaven. In addition, it operates a night-time Dapseonggangsullaedal night, a street parade involving 1,000 residents expressing the past, present and future, a back-to-the-back 1453 that can be enjoyed while traveling inside Gochang-eupseong Fortress under the theme of travel to the past, and a food and direct trading market using specialties from Gochang area.
[Contents of the event]
1. Main program
- Dapseong Nori, Night Dapseong Nori, Ganggangsullae Dal BAM, Street Parade, Back to the 1453

2. supplementary program
- Experience program, drone show, family zone, Gamaek street, food booth, direct market

3. a consumer engagement program
- Children's Carrot Market Experience Traditional Play

4. Other content
- Regional-linked CT demonstration project 'Shape of Light'

??Only some festival food information has been uploaded, and please check out the festival venue for more food information.",2025.10.29,2025.11.02,Jeonbuk,Gochang Fortress,35.431344,126.704239,free,Gochang County Office,063-560-2949,https://xn--v52bo3j80dp4c.com/,1740,"Family,Food,Culture,Children,Music/Show,Nature,All Ages,Heritage,Specialty,Join"
12th Buan Masil Festival,"The 12th Buan Masil Festival, which will be held at the local garden of Haedulmaru, Buan, from May 2nd to 5th, will be held in May to celebrate Family Month with family and friends, and anyone can enjoy everything in Buan, including tourism, nature, and cultural resources.
[Contents of the event]
1. Main program: Mamas & Papas Music Festival
2. Supplementary program: Food show for drinking table
3. Consumer Engagement Program: Find the Best Drinks
4. Other contents: Haedundeomaru drinking parade, movie theater, doll theater, etc",2025.05.02,2025.05.05,Jeonbuk,Buan Haetteulmaru Area,35.726448,126.742365,free,Buan County,063-580-3890,https://www.buanmasil.com/buanmasil/main.php,1520,"Family,Food,Culture,Spring,Music/Show,Nature,All Ages,Join"
2025 Jecheon International Herbal Bio Expo,"Jecheon International Oriental Medicine Natural Water Industry Expo is an expo specializing in oriental medicine and natural products held at Jecheon Oriental Medicine Expo Park, and is a venue for industrial exhibitions and business exchanges related to health functional foods, cosmetics, and pharmaceuticals.

[Contents of the event]
1. Major Exhibitions and Business Programs  
1) Exhibition in the industrial hall ??Exhibition of companies related to health functional foods, cosmetics, beauty products, natural medicines, functional foods, etc  
2) Buyer Consultation Meeting and Group Visiting Program ??Business Matching for Domestic and Foreign Buyers  
3) Operation of the Public Relations Center for Official Sponsors and Cooperatives

2. an academic and event program  
1) Opening Ceremony ??Official Event to Announce the Beginning of the Event  
2) Seminar and Forum ??In-depth discussion on natural product-based industrial technology, green bio, drug policy, etc  
3) VR Tour and Field Experience ??Exhibition Hall Tour, Experience Booth Operation

3. a supplementary program  
1) Food trucks and local food booths  
2) Cultural and Performance Events ??Opening Performance, Cultural Experience Events  
3) Tourism and VR Experience ??Jecheon Regional Tourism and VR Linkage Program",2025.09.20,2025.10.19,Chungbuk,Jecheon Herbal Bio Expo,37.145186,128.160502,free,Chungcheongbuk-do Province,043-220-4623,https://www.jcexpo.kr/,7380,"Food,Culture,Music/Show,Nature,Specialty,Join"
2025 Eco-Friendly Energy Festival,"With the aim of achieving the Lake Park Renaissance in North Chungcheong Province, the event will be held under the theme of water energy such as hydrothermal energy, green hydrogen, and water solar power, and it is a variety of events that allow you to see the energy industries such as the green hydrogen industry and secondary batteries at a glance with the aim of expanding the carbon neutrality base in North Chungcheong Province and ""transforming the new energy industry centered on the water energy industry."" It operates an energy experience (education) hall that sees, listens to, and makes various energy sources, in addition to the energy policy hall and the energy industry hall.
[Contents of the event]
1. Main program
- Exhibition hall (exhibition of policy hall, industrial hall, hydrogen car, etc.)

2. supplementary program
- Energy Job Concert, Su 2024 Promotion of New Hydrogen Industries, Symposium on Key Safety Standards and Technology Trends for Liquefied Hydrogen Infrastructure, Seminar on the Future of Water Energy in the North Chungcheong Province, and the North Chungcheong Solar Valley Policy Council

3. Experience program
- Watching the hydrogen safety museum, AR/VR experience, mobile science experience class, Pureumi mobile environment class, eco-friendly green consumption puppet show, air bounce, etc

4. Special program
- Eco-friendly energy drawing contest, eco-friendly energy idea contest, etc

5. Street event
- Premarkets, food trucks, etc",2025.09.26,2025.09.28,Chungbuk,Uirimji Area,36.988603,127.905915,free,Chungbuk Provincial Office,043-220-3263,https://ecoenergyfesta.imweb.me/,900,"Family,Winter,Food,Culture,Children,Music/Show,Nature,All Ages,Join"
